Kategori,Score interval,Felt,Tekst
Kommunikationsparat - Anbefaling,0-10,Anbefaling 1,Definer en grundlæggende ESG-kommunikationsstrategi målrettet kunder og investorer
Kommunikationsparat - Anbefaling,0-10,Anbefaling 2,Identificér jeres vigtigste stakeholders og kortlæg deres ESG-forventninger
Kommunikationsparat - Anbefaling,11-15,Anbefaling 1,Strukturér ESG-kommunikationen og gør den konsistent på tværs af kanaler
Kommunikationsparat - Anbefaling,11-15,Anbefaling 2,Udarbejd et simpelt ESG-resume til brug i salgs- og kundedialoger
Kommunikationsparat - Anbefaling,16-20,Anbefaling 1,Løft kvaliteten af jeres ESG-rapportering og brug anerkendte rammer som GRI eller ESRS
Kommunikationsparat - Anbefaling,16-20,Anbefaling 2,Træn salg og kundeservice i at kommunikere ESG-værdier troværdigt
Kommunikationsparat - Anbefaling,21-25,Anbefaling 1,Positionér jer aktivt som ESG-foregangsvirksomhed i jeres branche
Kommunikationsparat - Anbefaling,21-25,Anbefaling 2,Integrer ESG-historier aktivt i brand- og marketingstrategien
Organisationsparat - Anbefaling,0-10,Anbefaling 1,Sikr ledelsens formelle opbakning til ESG som strategisk prioritet
Organisationsparat - Anbefaling,0-10,Anbefaling 2,Forankr ESG-ansvar i organisationen med klare roller og ejerskab
Organisationsparat - Anbefaling,11-15,Anbefaling 1,Involvér medarbejderne bredt og skab fælles forståelse for ESG-dagsordenen
Organisationsparat - Anbefaling,11-15,Anbefaling 2,Opbyg intern ESG-kompetence gennem uddannelse og videndeling
Organisationsparat - Anbefaling,16-20,Anbefaling 1,Integrer ESG-hensyn i rekruttering kultur og medarbejderudvikling
Organisationsparat - Anbefaling,16-20,Anbefaling 2,Etablér tværgående ESG-processer på tværs af afdelinger og funktioner
Organisationsparat - Anbefaling,21-25,Anbefaling 1,Styrk ESG-governance med klare beslutningsstrukturer og bestyrelsesinvolvering
Organisationsparat - Anbefaling,21-25,Anbefaling 2,Benchmark jeres organisation mod branchens bedste ESG-praksis
Procesparat - Anbefaling,0-10,Anbefaling 1,Kortlæg jeres forsyningskæde og identificér de væsentligste ESG-risici
Procesparat - Anbefaling,0-10,Anbefaling 2,Begynd at dokumentere de mest kritiske processer ud fra et ESG-perspektiv
Procesparat - Anbefaling,11-15,Anbefaling 1,Implementér et simpelt system til ESG-dataindsamling og -opfølgning
Procesparat - Anbefaling,11-15,Anbefaling 2,Sæt ESG-krav ind i indkøbs- og leverandørpolitikker
Procesparat - Anbefaling,16-20,Anbefaling 1,Automatisér ESG-dataindsamling og -rapportering for at reducere manuel indsats
Procesparat - Anbefaling,16-20,Anbefaling 2,Integrer ESG-due diligence i eksisterende risikostyringsprocesser
Procesparat - Anbefaling,21-25,Anbefaling 1,Certificér relevante processer (ISO GRI ESRS) for øget troværdighed
Procesparat - Anbefaling,21-25,Anbefaling 2,Del proceserfaring og data med leverandører for at løfte hele værdikæden
